Title,Description,Latitude,Longitude,Media URL
Bloqueo + Enfrentamiento Armado,Bloqueo - Tiroteo en Comex y Pizzeta,24.823389,-107.415102,
Enfrentamiento Armado,Balacera en pinturas Doal.,24.832506,-107.393916,
Enfrentamiento Armado,Balacera,24.832759,-107.394931,
Bloqueo,Bloqueo. Camión en llamas.,24.751187,-107.35563,
Bloqueo,"Burning truck/carrier, bodies with bulletproof vests, white weapons strapped truck",24.756616,-107.358071,
Presencia Criminal,Video tomado desde interior de auto.,24.833253,-107.401817,
Presencia Criminal,Sicarios en Redillas,24.81003,-107.394805,
Bloqueo + Enfrentamiento Armado,Balacera. Bloqueo en Puente Alvaro Obregón,24.814478,-107.395663,
Bloqueo,,24.811675,-107.39492,
Bloqueo,,24.815112,-107.395568,
Enfrentamiento Armado,Tiroteo Mochomos,24.832648,-107.398601,
Enfrentamiento Armado,Tiroteo Mochomos,24.83113862,-107.3992158,
Enfrentamiento Armado,Oxxo near la Maroma,24.83113862,-107.3992158,
Enfrentamiento Armado,Zona Militar,24.799261,-107.375787,
Bloqueo + Enfrentamiento Armado,Explotó Trailer. BBVA Rotarismo,24.821574,-107.407639,
Enfrentamiento Armado,Balacera,24.83093,-107.388636,
Presencia Militar + Cuerpos,Fallecidos,24.832978,-107.403015,
Presencia Militar + Presencia Criminal,Military Shaking hands,24.57052,-107.430499,
Enfrentamiento Armado,Enfrentamiento Armado,24.57052,-107.4305,
Presencia Militar,Convoy Militar Enorme por Mascar,24.815509,-107.398791,
Presencia Militar,,24.815509,-107.398792,
Enfrentamiento Armado,Sicario disparando,24.833533,-107.402281,
Presencia Criminal,Alerta alguien a Mariscos el Sinaloense,24.819427,-107.401002,
Bloqueo,Bloqueo Puente- Río,24.818707,-107.379872,
Bloqueo,Bloqueo Puente- Río,24.819479,-107.380905,
Bloqueo,Acordonaron,24.821077,-107.400394,
Bloqueo,Coche de Sicarios,24.829795,-107.399111,
Bloqueo,Lavado River,24.831304,-107.399003,
Bloqueo,Fotos Coches Militares y Explosiones,24.833565,-107.400223,
Bloqueo,Camión quemado/atravesado Rotarismo,24.831696,-107.405338,
Bloqueo,Camión empresa privada ready mix,24.832859,-107.405523,
Bloqueo,Bloqueo - Tiroteo,24.823353,-107.414475,
Bloqueo,Cordón de seguridad,24.822968,-107.400131,
Bloqueo,Bloquear llegadas a la Fiscalía,24.821585,-107.400425,
Bloqueo,Balacera,24.831045,-107.38891,
Bloqueo,Bloqueo? Camioneta de quién? Asalto son las que van los policías agarrados de los tubos. Disparar y bajarse rápido,24.832443,-107.393003,
Bloqueo,Balacera Jevi,24.832759,-107.394931,
